epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,14616.4,1.26971,0.80718,0.91257,0.55503,0.39984,0.4238,0.23866,1.30176,0.83233,0.90983,0.0005941,0.0005941,0.0005941
43,14958.8,1.27993,0.80586,0.91651,0.55795,0.40268,0.42356,0.23929,1.31357,0.83843,0.91267,0.0005842,0.0005842,0.0005842
44,15300.4,1.27584,0.80783,0.91275,0.54493,0.41258,0.43021,0.23895,1.32809,0.82587,0.9147,0.0005743,0.0005743,0.0005743
45,15642.2,1.27945,0.80849,0.91356,0.53491,0.40836,0.42596,0.23666,1.32285,0.83016,0.91245,0.0005644,0.0005644,0.0005644
46,15984.5,1.27439,0.80239,0.9133,0.56303,0.40365,0.42798,0.24081,1.31207,0.82461,0.91138,0.0005545,0.0005545,0.0005545
47,16327.2,1.26224,0.79079,0.90796,0.54736,0.41696,0.43264,0.24534,1.28269,0.82191,0.90621,0.0005446,0.0005446,0.0005446
48,16670.1,1.26916,0.79711,0.91169,0.53258,0.42157,0.43044,0.24277,1.29842,0.82542,0.90995,0.0005347,0.0005347,0.0005347
49,17011.6,1.26205,0.78969,0.91308,0.5497,0.4121,0.42943,0.24247,1.29232,0.82884,0.90806,0.0005248,0.0005248,0.0005248
50,17352.8,1.26175,0.7853,0.91235,0.54713,0.42104,0.4377,0.24946,1.2774,0.80968,0.90417,0.0005149,0.0005149,0.0005149
51,17696,1.25108,0.77507,0.91034,0.54941,0.41643,0.43424,0.24537,1.29077,0.81639,0.90656,0.000505,0.000505,0.000505
52,18038,1.25446,0.7817,0.90782,0.56361,0.41366,0.43734,0.24604,1.29356,0.81067,0.90666,0.0004951,0.0004951,0.0004951
53,18379.6,1.25732,0.77513,0.90589,0.56263,0.41592,0.43749,0.24862,1.27946,0.81346,0.90485,0.0004852,0.0004852,0.0004852
54,18720.7,1.24118,0.77008,0.90631,0.55565,0.41974,0.43732,0.24827,1.28408,0.81585,0.90521,0.0004753,0.0004753,0.0004753
55,19077.5,1.24602,0.76567,0.90743,0.57088,0.41803,0.44228,0.25002,1.28147,0.80864,0.90466,0.0004654,0.0004654,0.0004654
56,19421.9,1.23666,0.76001,0.90652,0.57502,0.41573,0.4464,0.25419,1.27682,0.8004,0.90372,0.0004555,0.0004555,0.0004555
57,19766.5,1.24125,0.76262,0.90663,0.56476,0.41964,0.44208,0.25249,1.2756,0.8051,0.90639,0.0004456,0.0004456,0.0004456
58,20112.3,1.23134,0.75461,0.90188,0.57125,0.4212,0.44467,0.2513,1.28458,0.8045,0.90481,0.0004357,0.0004357,0.0004357
59,20458.2,1.23333,0.75319,0.90295,0.56762,0.42388,0.44338,0.24997,1.2839,0.80331,0.90588,0.0004258,0.0004258,0.0004258
60,20803.9,1.22735,0.74372,0.8998,0.55799,0.43155,0.44881,0.25677,1.25926,0.79553,0.90186,0.0004159,0.0004159,0.0004159
61,21149.1,1.23188,0.74804,0.90002,0.56406,0.42338,0.44493,0.25492,1.27148,0.79891,0.90294,0.000406,0.000406,0.000406
62,21494.9,1.23384,0.74981,0.90148,0.5518,0.43531,0.44643,0.2547,1.28,0.80148,0.90365,0.0003961,0.0003961,0.0003961
63,21840.9,1.22024,0.73786,0.89874,0.57003,0.41713,0.44784,0.25683,1.26821,0.79525,0.90148,0.0003862,0.0003862,0.0003862
64,22186.2,1.22881,0.74095,0.90134,0.56445,0.42533,0.44755,0.25695,1.27675,0.79657,0.90265,0.0003763,0.0003763,0.0003763
